"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"19/01/2023","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0","","0.09","0.00","0.00"
"19/01/2023","EGH","6.64","6.64","6.64","6.64","6.64","6.64","0","","6.40","0.00","0.00"
"19/01/2023","EGL","3.20","3.20","3.20","3.20","3.20","3.20","0","","3.15","0.00","0.00"
"19/01/2023","ETI","0.15","0.15","0.15","0.15","0.15","0.15","0","","0.15","1,000.00","150.00"
"19/01/2023","FML","3.00","3.00","3.00","3.00","3.00","3.00","0","","3.00","1.00","3.00"
"19/01/2023","GCB","3.94","3.94","3.94","3.94","3.94","3.94","0","","3.94","2.00","7.88"
"19/01/2023","GGBL","2.05","2.05","2.05","2.05","2.05","2.05","0","","2.05","0.00","0.00"
"19/01/2023","GLD","250.00","217.80","250.00","250.00","250.00","250.00","0","250.00","","0.00","0.00"
"19/01/2023","GOIL","1.72","1.71","1.71","1.71","1.71","1.71","0","","1.71","160.00","273.60"
"19/01/2023","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0","","","0.00","0.00"
"19/01/2023","IIL","0.04","0.04","0.04","0.04","0.04","0.04","0","","","0.00","0.00"
"19/01/2023","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0","","","0.00","0.00"
"19/01/2023","MMH","0.11","0.11","0.11","0.11","0.11","0.11","0","","0.11","0.00","0.00"
"19/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.86","0.88","19,376.00","17,050.88"
"19/01/2023","PBC","0.02","0.02","0.02","0.02","0.02","0.02","0","","0.02","0.00","0.00"
"19/01/2023","POP","0.68","0.68","0.68","0.68","0.68","0.68","0","","","0.00","0.00"
"19/01/2023","RBGH","0.54","0.54","0.54","0.54","0.54","0.54","0","","0.54","0.00","0.00"
"19/01/2023","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0","0.55","","0.00","0.00"
"19/01/2023","SCB","20.16","20.16","20.16","20.16","20.16","20.16","0","","19.95","33.00","658.35"
"19/01/2023","SCB PREF","0.90","0.90","0.90","0.90","0.90","0.90","0","0.90","","0.00","0.00"
"19/01/2023","SIC","0.31","0.31","0.31","0.31","0.31","0.31","0","","0.31","1.00","0.31"
"19/01/2023","SOGEGH","1.00","1.00","1.00","1.00","1.00","1.00","0","","1.00","400.00","400.00"
"19/01/2023","SWL","0.05","0.05","0.05","0.05","0.05","0.05","0","","","0.00","0.00"
"19/01/2023","TBL","0.80","0.80","0.80","0.80","0.80","0.80","0","0.80","","0.00","0.00"
"19/01/2023","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0","","11.92","150.00","1,788.00"
"19/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.01","4.40","0.00","0.00"
"19/01/2023","UNIL","3.88","2.85","3.15","3.15","2.85","2.85","-0.3","","3.50","2,849.00","8,119.65"
"18/01/2023","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0","","","0.00","0.00"
